subject,experimenter,version,shift_size,jnd,dprime,C_intercept,C_slope
41,mw,1.1,pooled,31.375,,-0.5342558817788532,-0.002634913253761461
42,MW,1.1,1,20.0,3.187656198427307,0.17183953465391863,0.01810773256848466
42,MW,1.1,0.5,20.0,2.4054077768682163,0.04757877917894361,-0.003538992525169335
42,MW,1.1,pooled,20.0,,0.09398967101120721,0.004734340606650841
5,JKP,1.0,1,8.875,1.759022317912002,0.34909546723309015,-0.00433226224288438
5,JKP,1.0,pooled,8.875,,0.34909546723309015,-0.00433226224288438
6,EM,1.0,1,4.4375,2.889096048009974,-0.0029540971656006358,0.014359003312150665
6,EM,1.0,pooled,4.4375,,-0.0029540971656006358,0.014359003312150665
7,OMR,1.0,1,28.5,1.6183455996036393,0.09788295539541839,0.02510661907629579
7,OMR,1.0,pooled,28.5,,0.09788295539541839,0.02510661907629579
8,OMR,1.0,1,6.8125,2.9209296610485014,-0.42021005504097453,-0.0060992066125441675
8,OMR,1.0,pooled,6.8125,,-0.42021005504097453,-0.0060992066125441675
9,,1.0,1,7.75,3.9040077559986,0.49630416852976067,0.009102412096331914
9,,1.0,pooled,7.75,,0.49630416852976067,0.009102412096331914
