subject,experimenter,version,jnd,shift_size,interval,offset,hit_rate,fa_rate,accuracy,perc_resp_low,dprime,C,rt
21,OMR,1.1,38.6875,0.5,500,0,0.35714285714285715,0.8809523809523809,0.225,0.375,-1.5458674744124308,-0.4068273804056458,1.35
21,OMR,1.1,38.6875,0.5,575,15,0.2619047619047619,0.5952380952380952,0.325,0.575,-0.8785245548484037,0.19822188353817505,1.2
22,JKP,1.1,10.125,1.0,425,-15,0.8809523809523809,0.023809523809523808,0.95,0.55,3.16051351425914,0.40049563951770883,0.9
22,JKP,1.1,10.125,1.0,500,0,0.7857142857142857,0.023809523809523808,0.9,0.6,2.7723910043906534,0.5945568944519521,1.05
22,JKP,1.1,10.125,1.0,575,15,0.9285714285714286,0.023809523809523808,0.975,0.525,3.445986189332802,0.25775930198087793,0.775
22,JKP,1.1,10.125,0.5,425,-15,0.6904761904761905,0.30952380952380953,0.7,0.5,0.9944011413631081,-0.0,1.575
22,JKP,1.1,10.125,0.5,500,0,0.5,0.07142857142857142,0.725,0.725,1.465233792685523,0.7326168963427615,1.6
22,JKP,1.1,10.125,0.5,575,15,0.5476190476190477,0.07142857142857142,0.75,0.7,1.5848819057253651,0.6727928398228404,1.95
23,EM,1.1,4.1875,1.0,425,-15,0.9285714285714286,0.30952380952380953,0.825,0.375,1.962434363367077,-0.48401661100198445,0.85
23,EM,1.1,4.1875,1.0,500,0,0.7380952380952381,0.16666666666666666,0.8,0.55,1.6049057270640783,0.16496870256966195,0.975
